Nama Dokter,Rumah Sakit,Latitude,Longitude,Alamat,dokterRS
"dr. Abdul Halim Raynaldo, Sp.JP",Siloam Hospitals Dhirga Surya Medan,-3.5858922,986.7359909,"Medan Petisah, Kota Medan","dr. Abdul Halim Raynaldo, Sp.JP - Siloam Hospitals Dhirga Surya Medan"
"dr. Ade Imasanti, Sp.JP, FIHA",Mayapada Hospital Jakarta Selatan,-6.2981092,106.7857609,"Cilandak, Jakarta Selatan","dr. Ade Imasanti, Sp.JP, FIHA - Mayapada Hospital Jakarta Selatan"
"dr. Adhantoro Rahadyan Sp.JP, FIHA",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Adhantoro Rahadyan Sp.JP, FIHA - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Adrian Masno, Sp.JP (K), FIHA",Siloam Hospitals Sriwijaya Palembang,-2.9777701,104.7423333,"Ilir Barat I, Kota Palembang","dr. Adrian Masno, Sp.JP (K), FIHA - Siloam Hospitals Sriwijaya Palembang"
"dr. Agnes Lucia Panda, Sp.PD, Sp.JP (K), FIHA",Siloam Hospitals Manado,14.876272,124.8376054,"Wenang, Kota Manado","dr. Agnes Lucia Panda, Sp.PD, Sp.JP (K), FIHA - Siloam Hospitals Manado"
"dr. Albertus Sewianto, Sp.JP",RS Mitra Keluarga Kemayoran,-6.1519597,106.8584997,"Kemayoran, Jakarta Pusat","dr. Albertus Sewianto, Sp.JP - RS Mitra Keluarga Kemayoran"
"dr. Aldhi Pradana Hernugrahanto, Sp.JP",RS Mitra Keluarga Surabaya,-7.2574719,112.7520883,"Sukomanunggal, Kota Surabaya","dr. Aldhi Pradana Hernugrahanto, Sp.JP - RS Mitra Keluarga Surabaya"
"dr. Andrea Kartika Suryadharma, Sp.JP",Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok),-6.3216091,106.7831377,"Cinere, Depok","dr. Andrea Kartika Suryadharma, Sp.JP - Siloam Hospitals Cinere ( RS Khusus Jantung Diagram Depok)"
"dr. Anggia Endah Satuti, Sp.JP",Siloam Hospitals Yogyakarta,-7.7834264,110.3908782,"Gondokusuman, Kota Yogyakarta","dr. Anggia Endah Satuti, Sp.JP - Siloam Hospitals Yogyakarta"
"dr. Anindita Primiari Qodrina, Sp.JP",Mayapada Hospital Surabaya,-7.292108,112.7277061,"Sawahan, Kota Surabaya","dr. Anindita Primiari Qodrina, Sp.JP - Mayapada Hospital Surabaya"
"dr. Anindita Suputri, Sp.JP",RSU Syubbanul Wathon,-7.4650812,110.2574426,"Pakis, Kabupaten Magelang","dr. Anindita Suputri, Sp.JP - RSU Syubbanul Wathon"
"Dr. dr. Antonia Anna Lukito, Sp.JP (K)",Siloam Hospitals Lippo Village,-6.2252322,106.5979611,"Kelapa Dua, Kabupaten Tangerang","Dr. dr. Antonia Anna Lukito, Sp.JP (K) - Siloam Hospitals Lippo Village"
"dr. Aprivita Gayatri, Sp.JP, FIHA",Siloam Hospitals Sentosa Bekasi,-6.2427712,107.0265831,"Bekasi Timur, Bekasi","dr. Aprivita Gayatri, Sp.JP, FIHA - Siloam Hospitals Sentosa Bekasi"
"dr. Ardianto Kusumajaya, Sp.JP, FIHA",RS Mitra Keluarga Kemayoran,-6.1519597,106.8584997,"Kemayoran, Jakarta Pusat","dr. Ardianto Kusumajaya, Sp.JP, FIHA - RS Mitra Keluarga Kemayoran"
